48.8323392302# 2.41144640633,Platanus,x hispanica,ILE DE BERCY / LAC DAUMESNIL,PARIS 12E ARRDT,397.0,40.0,,1860-01-01,180395
48.8803354834# 2.38130530981,Platanus,x hispanica,PARC DES BUTTES CHAUMONT,PARIS 19E ARRDT,686.0,30.0,,,188542
48.8615791238# 2.29107326949,Corylus,colurna,JARDIN DU TROCADERO,PARIS 16E ARRDT,260.0,20.0,,,200912
48.8527676299# 2.35102356684,Corylus,colurna,SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE,PARIS 4E ARRDT,210.0,19.0,,,212154
48.8658628897# 2.40006789337,Corylus,colurna,SQUARE EDOUARD VAILLANT,PARIS 20E ARRDT,160.0,16.0,,,213606
48.8513574712# 2.32513190803,Melia,azedarach,SQUARE BOUCICAUT,PARIS 7E ARRDT,120.0,13.0,,,218592
48.8578108712# 2.29375292444,Aesculus,hippocastanum,JARDIN DU CHAMP DE MARS,PARIS 7E ARRDT,525.0,20.0,,,209357
48.8704055251# 2.24852119162,Platanus,orientalis,PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY,PARIS 16E ARRDT,211.0,23.0,,1843-01-01,209519
48.8624451828# 2.28957035566,Sequoia,sempervirens,JARDIN DU TROCADERO,PARIS 16E ARRDT,157.0,9.0,,,219202
48.8292532091# 2.41318205865,Platanus,x hispanica,ROUTE DE LA CEINTURE DU LAC DAUMESNIL,PARIS 12E ARRDT,504.0,27.0,,1871-01-01,25666
48.8785828156# 2.30755979417,Platanus,orientalis,PARC MONCEAU,PARIS 8E ARRDT,645.0,25.0,,,27097
48.8852311185# 2.3427055876,Pterocarya,fraxinifolia,SQUARE LOUISE MICHEL,PARIS 18E ARRDT,410.0,25.0,,,35401
48.8724962406# 2.28696464951,Broussonetia,papyrifera,JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH,PARIS 16E ARRDT,157.0,8.0,,,35609
48.8213206283# 2.45536669589,Pinus,bungeana,ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE,PARIS 12E ARRDT,78.0,16.0,,2000-01-01,38076
48.8591685681# 2.27021762792,Corylus,colurna,JARDIN DU RANELAGH,PARIS 16E ARRDT,235.0,20.0,,,40142
48.8846213312# 2.34392438346,Platanus,orientalis,SQUARE LOUISE MICHEL,PARIS 18E ARRDT,505.0,25.0,,,41198
48.8451080643# 2.43897139635,Fagus,sylvatica,SQUARE JEAN JAURES / COURS MARIGNY,VAL-DE-MARNE,370.0,20.0,n. sp.,1895-01-01,48687
48.8477822447# 2.25372288858,Betula,nigra,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,PARIS 16E ARRDT,200.0,18.0,,1982-01-01,94932
48.8807468353# 2.38152960993,Fagus,sylvatica,PARC DES BUTTES CHAUMONT,PARIS 19E ARRDT,292.0,22.0,Atropurpurea,,166747
48.8578699359# 2.34811998994,Morus,alba,SQUARE DE LA TOUR SAINT JACQUES / 1 BIS RUE SAINT MARTIN,PARIS 4E ARRDT,96.0,6.0,,2009-01-01,172946
48.8394169316# 2.43359063315,Liriodendron,tulipifera,SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES,PARIS 12E ARRDT,298.0,30.0,,1862-01-01,186966
48.8800480147# 2.3800105658,Platanus,x hispanica,PARC DES BUTTES CHAUMONT,PARIS 19E ARRDT,449.0,27.0,,,199418
48.8577764958# 2.31452314446,Platanus,x hispanica,SQUARE DAJACCIO,PARIS 7E ARRDT,478.0,29.0,,,207905
48.863856986# 2.39663716021,Ginkgo,biloba,CIMETIERE DU PERE LACHAISE / DIV 78,PARIS 20E ARRDT,175.0,15.0,,,110263
48.8787029872# 2.30647417371,Acer,pseudoplatanus,PARC MONCEAU,PARIS 8E ARRDT,450.0,27.0,,,114406
48.8804079492# 2.38139887477,Platanus,x hispanica,PARC DES BUTTES CHAUMONT,PARIS 19E ARRDT,539.0,25.0,,,123602
48.8558090006# 2.30029407426,Diospyros,kaki,JARDIN DU CHAMP DE MARS,PARIS 7E ARRDT,117.0,14.0,,,129183
48.8727963278# 2.2875405986,Corylus,colurna,JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH,PARIS 16E ARRDT,205.0,15.0,,,136151
48.831421465# 2.41151437819,Diospyros,virginiana,ILE DE BERCY / LAC DAUMESNIL,PARIS 12E ARRDT,163.0,15.0,,1935-01-01,138175
48.8691331657# 2.27224829769,Gymnocladus,dioica,SQUARE ROBERT SCHUMAN,PARIS 16E ARRDT,165.0,10.0,,,147454
48.8330206707# 2.34991527056,Quercus,cerris,SQUARE RENE LE GALL,PARIS 13E ARRDT,130.0,19.0,,,147873
48.8399709915# 2.43374296016,Fagus,sylvatica,SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES,PARIS 12E ARRDT,550.0,20.0,Pendula,1864-01-01,151659
48.8578039088# 2.39574078452,Eucommia,ulmoides,CIMETIERE DU PERE LACHAISE / DIV 75,PARIS 20E ARRDT,120.0,12.0,,,155211
48.8303745987# 2.41349281717,Acer,opalus,ILE DE BERCY / LAC DAUMESNIL,PARIS 12E ARRDT,203.0,14.0,,1870-01-01,158554
48.8740821646# 2.25916497406,Catalpa,bignonioides,TIR AU PIGEON / 32 ROUTE DE L ETOILE,PARIS 16E ARRDT,397.0,14.0,,1910-01-01,163833
